Index,TagName,TagSize,Type,Process,Units
32,Emissivity,4,real,1,unit
36,ObjectDistance,4,real,1,m
40,ReflectedApparentTemperature,4,real,1,Kelvin
44,AtmosphericTemperature,4,real,1,Kelvin
48,IRWindowTemperature,4,real,1,Kelvin
52,IRWindowTransmission,4,real,1,Kelvin
60,RelativeHumidity,4,real,1,Fraction
88,PlanckR1,4,real,1,unit
92,PlanckB,4,real,1,unit
96,PlanckF,4,real,1,unit
112,AtmosphericTransAlpha1,4,real,1,unit
116,AtmosphericTransAlpha2,4,real,1,unit
120,AtmosphericTransBeta1,4,real,1,unit
124,AtmosphericTransBeta2,4,real,1,unit
128,AtmosphericTransX,4,real,1,unit
144,CameraTemperatureRangeMax,4,real,1,Kelvin
148,CameraTemperatureRangeMin,4,real,1,Kelvin
152,UnknownTemperature1,4,real,1,Kelvin
156,UnknownTemperature2,4,real,1,Kelvin
160,UnknownTemperature3,4,real,1,Kelvin
164,UnknownTemperature4,4,real,1,Kelvin
168,UnknownTemperature5,4,real,1,Kelvin
172,UnknownTemperature6,4,real,1,Kelvin
212,CameraModel,32,char,1,none
244,CameraPartNumber,16,char,1,none
260,CameraSerialNumber,16,char,1,none
276,CameraSoftware,92,char,1,none
368,LensModel,32,char,1,none
400,LensPartNumber,16,char,1,none
416,LensSerialNumber,20,char,1,none
436,FieldOfView,56,char,1,degree
492,FilterModel,16,char,1,none
508,FilterPartNumber,32,char,1,none
540,FilterSerialNumber,236,char,1,none
776,PlanckO,4,int,1,unit
780,PlanckR2,4,real,1,unit
824,RawValueMedian,4,int,1,Kelvin
828,RawValueRange,4,int,1,Kelvin
900,DateTimeOriginal,4,int,1,UnixTime
904,Milliseconds,2,int,1,msec
908,TimeZone,2,int,1,gmtoff_minutes
912,FocusStepCount,4,real,1,unit
1116,FocusDistance,4,real,1,m
